rank,archetype,combined_archetype_entries,representative_player,quantity,set_code,collector_number,raw_locator,top10,limitless_card_url,archetype_tag,meta_tag_top50,meta_tag_top10
3,Alakazam,337,Diego Cassiraga,3,MEG,125,MEG-125,True,https://limitlesstcg.com/cards/MEG/125,ptcg::archetype::alakazam,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
3,Alakazam,337,Diego Cassiraga,2,TWM,148,TWM-148,True,https://limitlesstcg.com/cards/TWM/148,ptcg::archetype::alakazam,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
3,Alakazam,337,Diego Cassiraga,1,DRI,168,DRI-168,True,https://limitlesstcg.com/cards/DRI/168,ptcg::archetype::alakazam,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
3,Alakazam,337,Diego Cassiraga,1,ASC,196,ASC-196,True,https://limitlesstcg.com/cards/ASC/196,ptcg::archetype::alakazam,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
3,Alakazam,337,Diego Cassiraga,1,TWM,158,TWM-158,True,https://limitlesstcg.com/cards/TWM/158,ptcg::archetype::alakazam,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
3,Alakazam,337,Diego Cassiraga,1,TWM,150,TWM-150,True,https://limitlesstcg.com/cards/TWM/150,ptcg::archetype::alakazam,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
3,Alakazam,337,Diego Cassiraga,1,ASC,181,ASC-181,True,https://limitlesstcg.com/cards/ASC/181,ptcg::archetype::alakazam,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
3,Alakazam,337,Diego Cassiraga,4,ASC,197,ASC-197,True,https://limitlesstcg.com/cards/ASC/197,ptcg::archetype::alakazam,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
3,Alakazam,337,Diego Cassiraga,4,POR,88,POR-88,True,https://limitlesstcg.com/cards/POR/88,ptcg::archetype::alakazam,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
3,Alakazam,337,Diego Cassiraga,1,MEE,5,MEE-5,True,https://limitlesstcg.com/cards/MEE/5,ptcg::archetype::alakazam,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
3,Alakazam,337,Diego Cassiraga,1,SSP,191,SSP-191,True,https://limitlesstcg.com/cards/SSP/191,ptcg::archetype::alakazam,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
4,N's Zoroark,285,Tord Reklev,4,ASC,136,ASC-136,True,https://limitlesstcg.com/cards/ASC/136,ptcg::archetype::n_s_zoroark,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
4,N's Zoroark,285,Tord Reklev,4,ASC,137,ASC-137,True,https://limitlesstcg.com/cards/ASC/137,ptcg::archetype::n_s_zoroark,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
4,N's Zoroark,285,Tord Reklev,2,ASC,155,ASC-155,True,https://limitlesstcg.com/cards/ASC/155,ptcg::archetype::n_s_zoroark,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
4,N's Zoroark,285,Tord Reklev,1,ASC,32,ASC-32,True,https://limitlesstcg.com/cards/ASC/32,ptcg::archetype::n_s_zoroark,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
4,N's Zoroark,285,Tord Reklev,1,ASC,33,ASC-33,True,https://limitlesstcg.com/cards/ASC/33,ptcg::archetype::n_s_zoroark,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
4,N's Zoroark,285,Tord Reklev,1,TWM,131,TWM-131,True,https://limitlesstcg.com/cards/TWM/131,ptcg::archetype::n_s_zoroark,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
4,N's Zoroark,285,Tord Reklev,1,ASC,16,ASC-16,True,https://limitlesstcg.com/cards/ASC/16,ptcg::archetype::n_s_zoroark,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
4,N's Zoroark,285,Tord Reklev,1,MEG,88,MEG-88,True,https://limitlesstcg.com/cards/MEG/88,ptcg::archetype::n_s_zoroark,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
4,N's Zoroark,285,Tord Reklev,1,ASC,99,ASC-99,True,https://limitlesstcg.com/cards/ASC/99,ptcg::archetype::n_s_zoroark,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
4,N's Zoroark,285,Tord Reklev,1,SFA,39,SFA-39,True,https://limitlesstcg.com/cards/SFA/39,ptcg::archetype::n_s_zoroark,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
4,N's Zoroark,285,Tord Reklev,1,ASC,142,ASC-142,True,https://limitlesstcg.com/cards/ASC/142,ptcg::archetype::n_s_zoroark,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
4,N's Zoroark,285,Tord Reklev,1,POR,62,POR-62,True,https://limitlesstcg.com/cards/POR/62,ptcg::archetype::n_s_zoroark,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
4,N's Zoroark,285,Tord Reklev,4,MEG,119,MEG-119,True,https://limitlesstcg.com/cards/MEG/119,ptcg::archetype::n_s_zoroark,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
4,N's Zoroark,285,Tord Reklev,3,MEG,114,MEG-114,True,https://limitlesstcg.com/cards/MEG/114,ptcg::archetype::n_s_zoroark,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
4,N's Zoroark,285,Tord Reklev,2,SSP,170,SSP-170,True,https://limitlesstcg.com/cards/SSP/170,ptcg::archetype::n_s_zoroark,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
4,N's Zoroark,285,Tord Reklev,1,JTG,143,JTG-143,True,https://limitlesstcg.com/cards/JTG/143,ptcg::archetype::n_s_zoroark,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
4,N's Zoroark,285,Tord Reklev,1,JTG,157,JTG-157,True,https://limitlesstcg.com/cards/JTG/157,ptcg::archetype::n_s_zoroark,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
4,N's Zoroark,285,Tord Reklev,4,ASC,184,ASC-184,True,https://limitlesstcg.com/cards/ASC/184,ptcg::archetype::n_s_zoroark,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
4,N's Zoroark,285,Tord Reklev,4,CRI,83,CRI-83,True,https://limitlesstcg.com/cards/CRI/83,ptcg::archetype::n_s_zoroark,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
4,N's Zoroark,285,Tord Reklev,3,MEG,131,MEG-131,True,https://limitlesstcg.com/cards/MEG/131,ptcg::archetype::n_s_zoroark,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
4,N's Zoroark,285,Tord Reklev,3,ASC,195,ASC-195,True,https://limitlesstcg.com/cards/ASC/195,ptcg::archetype::n_s_zoroark,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
4,N's Zoroark,285,Tord Reklev,2,ASC,196,ASC-196,True,https://limitlesstcg.com/cards/ASC/196,ptcg::archetype::n_s_zoroark,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
4,N's Zoroark,285,Tord Reklev,1,POR,81,POR-81,True,https://limitlesstcg.com/cards/POR/81,ptcg::archetype::n_s_zoroark,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
4,N's Zoroark,285,Tord Reklev,1,CRI,82,CRI-82,True,https://limitlesstcg.com/cards/CRI/82,ptcg::archetype::n_s_zoroark,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
4,N's Zoroark,285,Tord Reklev,1,TWM,163,TWM-163,True,https://limitlesstcg.com/cards/TWM/163,ptcg::archetype::n_s_zoroark,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
4,N's Zoroark,285,Tord Reklev,2,PRE,95,PRE-95,True,https://limitlesstcg.com/cards/PRE/95,ptcg::archetype::n_s_zoroark,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
4,N's Zoroark,285,Tord Reklev,2,JTG,152,JTG-152,True,https://limitlesstcg.com/cards/JTG/152,ptcg::archetype::n_s_zoroark,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
4,N's Zoroark,285,Tord Reklev,7,MEE,7,MEE-7,True,https://limitlesstcg.com/cards/MEE/7,ptcg::archetype::n_s_zoroark,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
5,Raging Bolt,261,Bryant Breier,3,MEG,104,MEG-104,True,https://limitlesstcg.com/cards/MEG/104,ptcg::archetype::raging_bolt,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
5,Raging Bolt,261,Bryant Breier,3,TWM,25,TWM-25,True,https://limitlesstcg.com/cards/TWM/25,ptcg::archetype::raging_bolt,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
5,Raging Bolt,261,Bryant Breier,3,POR,62,POR-62,True,https://limitlesstcg.com/cards/POR/62,ptcg::archetype::raging_bolt,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
5,Raging Bolt,261,Bryant Breier,2,TEF,123,TEF-123,True,https://limitlesstcg.com/cards/TEF/123,ptcg::archetype::raging_bolt,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
5,Raging Bolt,261,Bryant Breier,2,SSP,76,SSP-76,True,https://limitlesstcg.com/cards/SSP/76,ptcg::archetype::raging_bolt,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
5,Raging Bolt,261,Bryant Breier,1,TWM,64,TWM-64,True,https://limitlesstcg.com/cards/TWM/64,ptcg::archetype::raging_bolt,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
5,Raging Bolt,261,Bryant Breier,1,ASC,76,ASC-76,True,https://limitlesstcg.com/cards/ASC/76,ptcg::archetype::raging_bolt,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
5,Raging Bolt,261,Bryant Breier,1,ASC,142,ASC-142,True,https://limitlesstcg.com/cards/ASC/142,ptcg::archetype::raging_bolt,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
5,Raging Bolt,261,Bryant Breier,1,TEF,25,TEF-25,True,https://limitlesstcg.com/cards/TEF/25,ptcg::archetype::raging_bolt,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
5,Raging Bolt,261,Bryant Breier,1,SSP,111,SSP-111,True,https://limitlesstcg.com/cards/SSP/111,ptcg::archetype::raging_bolt,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
5,Raging Bolt,261,Bryant Breier,1,SSP,56,SSP-56,True,https://limitlesstcg.com/cards/SSP/56,ptcg::archetype::raging_bolt,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
5,Raging Bolt,261,Bryant Breier,4,SCR,133,SCR-133,True,https://limitlesstcg.com/cards/SCR/133,ptcg::archetype::raging_bolt,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
5,Raging Bolt,261,Bryant Breier,2,SSP,170,SSP-170,True,https://limitlesstcg.com/cards/SSP/170,ptcg::archetype::raging_bolt,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
5,Raging Bolt,261,Bryant Breier,2,MEG,114,MEG-114,True,https://limitlesstcg.com/cards/MEG/114,ptcg::archetype::raging_bolt,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
5,Raging Bolt,261,Bryant Breier,1,TEF,145,TEF-145,True,https://limitlesstcg.com/cards/TEF/145,ptcg::archetype::raging_bolt,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
5,Raging Bolt,261,Bryant Breier,1,MEG,119,MEG-119,True,https://limitlesstcg.com/cards/MEG/119,ptcg::archetype::raging_bolt,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
5,Raging Bolt,261,Bryant Breier,4,MEG,115,MEG-115,True,https://limitlesstcg.com/cards/MEG/115,ptcg::archetype::raging_bolt,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
5,Raging Bolt,261,Bryant Breier,4,MEG,131,MEG-131,True,https://limitlesstcg.com/cards/MEG/131,ptcg::archetype::raging_bolt,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
5,Raging Bolt,261,Bryant Breier,2,ASC,189,ASC-189,True,https://limitlesstcg.com/cards/ASC/189,ptcg::archetype::raging_bolt,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
5,Raging Bolt,261,Bryant Breier,2,ASC,196,ASC-196,True,https://limitlesstcg.com/cards/ASC/196,ptcg::archetype::raging_bolt,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
5,Raging Bolt,261,Bryant Breier,1,TWM,165,TWM-165,True,https://limitlesstcg.com/cards/TWM/165,ptcg::archetype::raging_bolt,ptcg::meta::2026_06::top50,ptcg::meta::2026_06::top10
