card_key,name,archetype,archetype_tag,top10_core
Night Stretcher · SFA 061,Night Stretcher,Bronzong,ptcg::archetype::bronzong,True
Poké Pad · ASC 198,Poké Pad,Bronzong,ptcg::archetype::bronzong,True
Pokégear 3.0 · UNB 182,Pokégear 3.0,Bronzong,ptcg::archetype::bronzong,False
Psychic Energy · BS 101,Psychic Energy,Bronzong,ptcg::archetype::bronzong,True
Salvatore · TEF 160,Salvatore,Bronzong,ptcg::archetype::bronzong,False
Secret Box · TWM 163,Secret Box,Bronzong,ptcg::archetype::bronzong,True
Snorunt · ASC 046,Snorunt,Bronzong,ptcg::archetype::bronzong,False
Switch · BLW 104,Switch,Bronzong,ptcg::archetype::bronzong,True
Team Rocket's Watchtower · DRI 180,Team Rocket's Watchtower,Bronzong,ptcg::archetype::bronzong,True
Telepathic Psychic Energy · POR 088,Telepathic Psychic Energy,Bronzong,ptcg::archetype::bronzong,True
Ultra Ball · BRS 150,Ultra Ball,Bronzong,ptcg::archetype::bronzong,True
Water Energy · BS 102,Water Energy,Bronzong,ptcg::archetype::bronzong,True
Boss's Orders · PAL 172,Boss's Orders,Ceruledge,ptcg::archetype::ceruledge,True
Brilliant Blender · SSP 164,Brilliant Blender,Ceruledge,ptcg::archetype::ceruledge,False
Carmine · TWM 145,Carmine,Ceruledge,ptcg::archetype::ceruledge,False
Ceruledge ex · SSP 036,Ceruledge ex,Ceruledge,ptcg::archetype::ceruledge,False
Charcadet · SSP 032,Charcadet,Ceruledge,ptcg::archetype::ceruledge,False
Drilbur · TEF 085,Drilbur,Ceruledge,ptcg::archetype::ceruledge,False
Explorer's Guidance · TEF 147,Explorer's Guidance,Ceruledge,ptcg::archetype::ceruledge,False
Fighting Energy · BS 97,Fighting Energy,Ceruledge,ptcg::archetype::ceruledge,True
Fighting Gong · MEG 116,Fighting Gong,Ceruledge,ptcg::archetype::ceruledge,True
Fire Energy · BS 98,Fire Energy,Ceruledge,ptcg::archetype::ceruledge,True
Lunatone · MEP 004,Lunatone,Ceruledge,ptcg::archetype::ceruledge,True
Night Stretcher · SFA 061,Night Stretcher,Ceruledge,ptcg::archetype::ceruledge,True
Poké Pad · ASC 198,Poké Pad,Ceruledge,ptcg::archetype::ceruledge,True
Pokémon Catcher · SVI 187,Pokémon Catcher,Ceruledge,ptcg::archetype::ceruledge,False
Solrock · MEG 075,Solrock,Ceruledge,ptcg::archetype::ceruledge,True
Ultra Ball · BRS 150,Ultra Ball,Ceruledge,ptcg::archetype::ceruledge,True
Bianca's Devotion · TEF 142,Bianca's Devotion,Crustle,ptcg::archetype::crustle,False
Boss's Orders · PAL 172,Boss's Orders,Crustle,ptcg::archetype::crustle,True
Buddy-Buddy Poffin · TEF 144,Buddy-Buddy Poffin,Crustle,ptcg::archetype::crustle,True
Community Center · TWM 146,Community Center,Crustle,ptcg::archetype::crustle,False
Crustle · DRI 012,Crustle,Crustle,ptcg::archetype::crustle,False
Dwebble · DRI 011,Dwebble,Crustle,ptcg::archetype::crustle,False
Eri · TEF 146,Eri,Crustle,ptcg::archetype::crustle,False
Festival Grounds · TWM 149,Festival Grounds,Crustle,ptcg::archetype::crustle,False
Grass Energy · BS 99,Grass Energy,Crustle,ptcg::archetype::crustle,True
Growing Grass Energy · POR 086,Growing Grass Energy,Crustle,ptcg::archetype::crustle,False
Hand Trimmer · TEF 150,Hand Trimmer,Crustle,ptcg::archetype::crustle,False
Handheld Fan · TWM 150,Handheld Fan,Crustle,ptcg::archetype::crustle,True
Hero's Cape · TEF 152,Hero's Cape,Crustle,ptcg::archetype::crustle,True
Hilda · WHT 084,Hilda,Crustle,ptcg::archetype::crustle,True
Jumbo Ice Cream · PFL 091,Jumbo Ice Cream,Crustle,ptcg::archetype::crustle,False
Lillie's Determination · MEG 119,Lillie's Determination,Crustle,ptcg::archetype::crustle,True
Lisia's Appeal · SSP 179,Lisia's Appeal,Crustle,ptcg::archetype::crustle,False
Mega Kangaskhan ex · MEP 025,Mega Kangaskhan ex,Crustle,ptcg::archetype::crustle,True
Mist Energy · TEF 161,Mist Energy,Crustle,ptcg::archetype::crustle,False
Pokégear 3.0 · UNB 182,Pokégear 3.0,Crustle,ptcg::archetype::crustle,False
Pokémon Center Lady · SSH 176,Pokémon Center Lady,Crustle,ptcg::archetype::crustle,False
Spiky Energy · JTG 159,Spiky Energy,Crustle,ptcg::archetype::crustle,False
Switch · BLW 104,Switch,Crustle,ptcg::archetype::crustle,True
Team Rocket's Factory · DRI 173,Team Rocket's Factory,Crustle,ptcg::archetype::crustle,True
Team Rocket's Petrel · DRI 176,Team Rocket's Petrel,Crustle,ptcg::archetype::crustle,True
Ultra Ball · BRS 150,Ultra Ball,Crustle,ptcg::archetype::crustle,True
Xerosic's Machinations · SFA 064,Xerosic's Machinations,Crustle,ptcg::archetype::crustle,False
Boss's Orders · PAL 172,Boss's Orders,Cynthia's Garchomp,ptcg::archetype::cynthia_s_garchomp,True
Buddy-Buddy Poffin · TEF 144,Buddy-Buddy Poffin,Cynthia's Garchomp,ptcg::archetype::cynthia_s_garchomp,True
Cynthia's Gabite · ASC 110,Cynthia's Gabite,Cynthia's Garchomp,ptcg::archetype::cynthia_s_garchomp,False
Cynthia's Garchomp ex · ASC 111,Cynthia's Garchomp ex,Cynthia's Garchomp,ptcg::archetype::cynthia_s_garchomp,False
Cynthia's Gible · DRI 102,Cynthia's Gible,Cynthia's Garchomp,ptcg::archetype::cynthia_s_garchomp,False
Cynthia's Power Weight · DRI 162,Cynthia's Power Weight,Cynthia's Garchomp,ptcg::archetype::cynthia_s_garchomp,False
Cynthia's Roselia · DRI 007,Cynthia's Roselia,Cynthia's Garchomp,ptcg::archetype::cynthia_s_garchomp,False
Cynthia's Roserade · DRI 008,Cynthia's Roserade,Cynthia's Garchomp,ptcg::archetype::cynthia_s_garchomp,False
Cynthia's Spiritomb · DRI 129,Cynthia's Spiritomb,Cynthia's Garchomp,ptcg::archetype::cynthia_s_garchomp,False
Fighting Energy · BS 97,Fighting Energy,Cynthia's Garchomp,ptcg::archetype::cynthia_s_garchomp,True
Fighting Gong · MEG 116,Fighting Gong,Cynthia's Garchomp,ptcg::archetype::cynthia_s_garchomp,True
Hilda · WHT 084,Hilda,Cynthia's Garchomp,ptcg::archetype::cynthia_s_garchomp,True
Judge · FLI 108,Judge,Cynthia's Garchomp,ptcg::archetype::cynthia_s_garchomp,False
Lillie's Determination · MEG 119,Lillie's Determination,Cynthia's Garchomp,ptcg::archetype::cynthia_s_garchomp,True
Neo Upper Energy · TEF 162,Neo Upper Energy,Cynthia's Garchomp,ptcg::archetype::cynthia_s_garchomp,True
Night Stretcher · SFA 061,Night Stretcher,Cynthia's Garchomp,ptcg::archetype::cynthia_s_garchomp,True
Poké Pad · ASC 198,Poké Pad,Cynthia's Garchomp,ptcg::archetype::cynthia_s_garchomp,True
Pokégear 3.0 · UNB 182,Pokégear 3.0,Cynthia's Garchomp,ptcg::archetype::cynthia_s_garchomp,False
Premium Power Pro · MEG 124,Premium Power Pro,Cynthia's Garchomp,ptcg::archetype::cynthia_s_garchomp,True
Rare Candy · SSH 180,Rare Candy,Cynthia's Garchomp,ptcg::archetype::cynthia_s_garchomp,True
Rocky Fighting Energy · POR 087,Rocky Fighting Energy,Cynthia's Garchomp,ptcg::archetype::cynthia_s_garchomp,True
Shaymin · DRI 010,Shaymin,Cynthia's Garchomp,ptcg::archetype::cynthia_s_garchomp,True
Switch · BLW 104,Switch,Cynthia's Garchomp,ptcg::archetype::cynthia_s_garchomp,True
Team Rocket's Watchtower · DRI 180,Team Rocket's Watchtower,Cynthia's Garchomp,ptcg::archetype::cynthia_s_garchomp,True
Air Balloon · BLK 079,Air Balloon,Decidueye,ptcg::archetype::decidueye,True
Boss's Orders · PAL 172,Boss's Orders,Decidueye,ptcg::archetype::decidueye,True
Buddy-Buddy Poffin · TEF 144,Buddy-Buddy Poffin,Decidueye,ptcg::archetype::decidueye,True
Budew · PRE 004,Budew,Decidueye,ptcg::archetype::decidueye,True
Bug Catching Set · TWM 143,Bug Catching Set,Decidueye,ptcg::archetype::decidueye,True
Dartrix · POR 011,Dartrix,Decidueye,ptcg::archetype::decidueye,False
Dawn · PFL 087,Dawn,Decidueye,ptcg::archetype::decidueye,True
Decidueye ex · POR 012,Decidueye ex,Decidueye,ptcg::archetype::decidueye,False
Dudunsparce · TEF 129,Dudunsparce,Decidueye,ptcg::archetype::decidueye,True
Dunsparce · JTG 120,Dunsparce,Decidueye,ptcg::archetype::decidueye,True
Fezandipiti ex · SFA 038,Fezandipiti ex,Decidueye,ptcg::archetype::decidueye,True
Forest of Vitality · MEG 117,Forest of Vitality,Decidueye,ptcg::archetype::decidueye,True
Grass Energy · BS 99,Grass Energy,Decidueye,ptcg::archetype::decidueye,True
Growing Grass Energy · POR 086,Growing Grass Energy,Decidueye,ptcg::archetype::decidueye,False
Ignition Energy · WHT 086,Ignition Energy,Decidueye,ptcg::archetype::decidueye,True
Judge · FLI 108,Judge,Decidueye,ptcg::archetype::decidueye,False
Lillie's Determination · MEG 119,Lillie's Determination,Decidueye,ptcg::archetype::decidueye,True
Night Stretcher · SFA 061,Night Stretcher,Decidueye,ptcg::archetype::decidueye,True
Poké Pad · ASC 198,Poké Pad,Decidueye,ptcg::archetype::decidueye,True
Prime Catcher · TEF 157,Prime Catcher,Decidueye,ptcg::archetype::decidueye,False
Relicanth · TEF 084,Relicanth,Decidueye,ptcg::archetype::decidueye,False
Rowlet · SFA 003,Rowlet,Decidueye,ptcg::archetype::decidueye,False
Sacred Ash · DRI 168,Sacred Ash,Decidueye,ptcg::archetype::decidueye,True
Scatterbug · SSP 005,Scatterbug,Decidueye,ptcg::archetype::decidueye,False
Spewpa · POR 008,Spewpa,Decidueye,ptcg::archetype::decidueye,False
Ultra Ball · BRS 150,Ultra Ball,Decidueye,ptcg::archetype::decidueye,True
Vivillon · POR 009,Vivillon,Decidueye,ptcg::archetype::decidueye,False
Aegislash · POR 058,Aegislash,Doublade,ptcg::archetype::doublade,False
Air Balloon · BLK 079,Air Balloon,Doublade,ptcg::archetype::doublade,True
Battle Cage · PFL 085,Battle Cage,Doublade,ptcg::archetype::doublade,False
Boss's Orders · PAL 172,Boss's Orders,Doublade,ptcg::archetype::doublade,True
Brock's Scouting · JTG 146,Brock's Scouting,Doublade,ptcg::archetype::doublade,True
Buddy-Buddy Poffin · TEF 144,Buddy-Buddy Poffin,Doublade,ptcg::archetype::doublade,True
Counter Gain · SSP 169,Counter Gain,Doublade,ptcg::archetype::doublade,False
Doublade · POR 057,Doublade,Doublade,ptcg::archetype::doublade,False
Drakloak · ASC 159,Drakloak,Doublade,ptcg::archetype::doublade,True
Dreepy · TWM 128,Dreepy,Doublade,ptcg::archetype::doublade,True
Fezandipiti ex · SFA 038,Fezandipiti ex,Doublade,ptcg::archetype::doublade,True
Genesect ex · BLK 067,Genesect ex,Doublade,ptcg::archetype::doublade,False
Hilda · WHT 084,Hilda,Doublade,ptcg::archetype::doublade,True
Honedge · POR 056,Honedge,Doublade,ptcg::archetype::doublade,False
Ignition Energy · WHT 086,Ignition Energy,Doublade,ptcg::archetype::doublade,True
Lillie's Determination · MEG 119,Lillie's Determination,Doublade,ptcg::archetype::doublade,True
Max Rod · PRE 116,Max Rod,Doublade,ptcg::archetype::doublade,False
Mist Energy · TEF 161,Mist Energy,Doublade,ptcg::archetype::doublade,False
Night Stretcher · SFA 061,Night Stretcher,Doublade,ptcg::archetype::doublade,True
Poké Pad · ASC 198,Poké Pad,Doublade,ptcg::archetype::doublade,True
Shaymin · DRI 010,Shaymin,Doublade,ptcg::archetype::doublade,True
Boss's Orders · PAL 172,Boss's Orders,Dragapult,ptcg::archetype::dragapult,True
Buddy-Buddy Poffin · TEF 144,Buddy-Buddy Poffin,Dragapult,ptcg::archetype::dragapult,True
Budew · PRE 004,Budew,Dragapult,ptcg::archetype::dragapult,True
Crispin · SCR 133,Crispin,Dragapult,ptcg::archetype::dragapult,True
Crushing Hammer · SUM 115,Crushing Hammer,Dragapult,ptcg::archetype::dragapult,True
Darkness Energy · DP 129,Darkness Energy,Dragapult,ptcg::archetype::dragapult,True
Dawn · PFL 087,Dawn,Dragapult,ptcg::archetype::dragapult,True
Dragapult ex · ASC 160,Dragapult ex,Dragapult,ptcg::archetype::dragapult,True
Drakloak · ASC 159,Drakloak,Dragapult,ptcg::archetype::dragapult,True
Dreepy · TWM 128,Dreepy,Dragapult,ptcg::archetype::dragapult,True
Dusclops · SFA 019,Dusclops,Dragapult,ptcg::archetype::dragapult,True
Dusknoir · SFA 020,Dusknoir,Dragapult,ptcg::archetype::dragapult,True
Duskull · SFA 018,Duskull,Dragapult,ptcg::archetype::dragapult,True
Fezandipiti ex · SFA 038,Fezandipiti ex,Dragapult,ptcg::archetype::dragapult,True
Fire Energy · BS 98,Fire Energy,Dragapult,ptcg::archetype::dragapult,True
Handheld Fan · TWM 150,Handheld Fan,Dragapult,ptcg::archetype::dragapult,True
Jamming Tower · TWM 153,Jamming Tower,Dragapult,ptcg::archetype::dragapult,True
Lillie's Determination · MEG 119,Lillie's Determination,Dragapult,ptcg::archetype::dragapult,True
Meowth ex · POR 062,Meowth ex,Dragapult,ptcg::archetype::dragapult,True
Munkidori · TWM 095,Munkidori,Dragapult,ptcg::archetype::dragapult,True
Night Stretcher · SFA 061,Night Stretcher,Dragapult,ptcg::archetype::dragapult,True
Poké Pad · ASC 198,Poké Pad,Dragapult,ptcg::archetype::dragapult,True
Psychic Energy · BS 101,Psychic Energy,Dragapult,ptcg::archetype::dragapult,True
Special Red Card · CRI 082,Special Red Card,Dragapult,ptcg::archetype::dragapult,True
Team Rocket's Watchtower · DRI 180,Team Rocket's Watchtower,Dragapult,ptcg::archetype::dragapult,True
Ultra Ball · BRS 150,Ultra Ball,Dragapult,ptcg::archetype::dragapult,True
Unfair Stamp · TWM 165,Unfair Stamp,Dragapult,ptcg::archetype::dragapult,True
