card_key,display_label,name,category,top10_core,top50,source_locator_count,source_locators,archetype_count,archetypes,anki_tags
Avalugg · CRI 024,Avalugg,Avalugg,Pokemon,False,True,1,CRI-24,1,Mega Abomasnow,ptcg::archetype::mega_abomasnow ptcg::card_type::pokemon ptcg::meta::2026_06::top50
AZ's Tranquility · CRI 076,AZ's Tranquility,AZ's Tranquility,Trainer,True,True,1,CRI-76,2,Joltik Box | Mega Greninja,ptcg::archetype::joltik_box ptcg::archetype::mega_greninja ptcg::card_type::trainer ptcg::meta::2026_06::top10 ptcg::meta::2026_06::top50
Barbaracle · POR 043,Barbaracle · POR 043,Barbaracle,Pokemon,False,True,1,POR-43,1,Okidogi,ptcg::archetype::okidogi ptcg::card_type::pokemon ptcg::meta::2026_06::top50
Battle Cage · PFL 085,Battle Cage,Battle Cage,Trainer,False,True,1,PFL-85,9,Archaludon | Doublade | Eelektrik | Ethan's Typhlosion | Hydreigon | Mega Charizard X | Mega Lopunny | Okidogi | Steven's Metagross,ptcg::archetype::archaludon ptcg::archetype::doublade ptcg::archetype::eelektrik ptcg::archetype::ethan_s_typhlosion ptcg::archetype::hydreigon ptcg::archetype::mega_charizard_x ptcg::archetype::mega_lopunny ptcg::archetype::okidogi ptcg::archetype::steven_s_metagross ptcg::card_type::trainer ptcg::meta::2026_06::top50
Bayleef · ASC 009,Bayleef · ASC 009,Bayleef,Pokemon,True,True,1,ASC-9,1,Ogerpon Meganium,ptcg::archetype::ogerpon_meganium ptcg::card_type::pokemon ptcg::meta::2026_06::top10 ptcg::meta::2026_06::top50
Bayleef · MEG 009,Bayleef · MEG 009,Bayleef,Pokemon,True,True,1,MEG-9,2,Mega Venusaur | Ogerpon Meganium,ptcg::archetype::mega_venusaur ptcg::archetype::ogerpon_meganium ptcg::card_type::pokemon ptcg::meta::2026_06::top10 ptcg::meta::2026_06::top50
Beedrill ex · CRI 003,Beedrill ex,Beedrill ex,Pokemon,False,True,1,CRI-3,1,Beedrill,ptcg::archetype::beedrill ptcg::card_type::pokemon ptcg::mechanic::ex ptcg::meta::2026_06::top50
Beldum · TEF 113,Beldum · TEF 113,Beldum,Pokemon,False,True,1,TEF-113,1,Metagross,ptcg::archetype::metagross ptcg::card_type::pokemon ptcg::meta::2026_06::top50
Bergmite · CRI 023,Bergmite,Bergmite,Pokemon,False,True,1,CRI-23,1,Mega Abomasnow,ptcg::archetype::mega_abomasnow ptcg::card_type::pokemon ptcg::meta::2026_06::top50
Bianca's Devotion · TEF 142,Bianca's Devotion,Bianca's Devotion,Trainer,False,True,1,TEF-142,1,Crustle,ptcg::archetype::crustle ptcg::card_type::trainer ptcg::meta::2026_06::top50
Binacle · POR 042,Binacle,Binacle,Pokemon,False,True,1,POR-42,1,Okidogi,ptcg::archetype::okidogi ptcg::card_type::pokemon ptcg::meta::2026_06::top50
Binding Mochi · SFA 055,Binding Mochi,Binding Mochi,Trainer,True,True,1,PRE-95,2,Mega Sharpedo | N's Zoroark,ptcg::archetype::mega_sharpedo ptcg::archetype::n_s_zoroark ptcg::card_type::trainer ptcg::meta::2026_06::top10 ptcg::meta::2026_06::top50
Black Belt's Training · SVP 219,Black Belt's Training,Black Belt's Training,Trainer,True,True,1,JTG-143,5,Archaludon | Ethan's Typhlosion | Flareon | N's Zoroark | Palafin,ptcg::archetype::archaludon ptcg::archetype::ethan_s_typhlosion ptcg::archetype::flareon ptcg::archetype::n_s_zoroark ptcg::archetype::palafin ptcg::card_type::trainer ptcg::meta::2026_06::top10 ptcg::meta::2026_06::top50
Bloodmoon Ursaluna ex · SVP 177,Bloodmoon Ursaluna ex,Bloodmoon Ursaluna ex,Pokemon,False,True,1,TWM-141,3,Joltik Box | Kangaskhan Bouffalant | Mega Absol Box,ptcg::archetype::joltik_box ptcg::archetype::kangaskhan_bouffalant ptcg::archetype::mega_absol_box ptcg::card_type::pokemon ptcg::mechanic::ex ptcg::meta::2026_06::top50
Bloodmoon Ursaluna · SFA 025,Bloodmoon Ursaluna,Bloodmoon Ursaluna,Pokemon,False,True,1,PRE-54,2,Bloodmoon Ursaluna | Okidogi,ptcg::archetype::bloodmoon_ursaluna ptcg::archetype::okidogi ptcg::card_type::pokemon ptcg::meta::2026_06::top50
Boomerang Energy · TWM 166,Boomerang Energy,Boomerang Energy,Energy,True,True,1,TWM-166,1,Slowking,ptcg::archetype::slowking ptcg::card_type::energy ptcg::meta::2026_06::top10 ptcg::meta::2026_06::top50
Boss's Orders · PAL 172,Boss's Orders,Boss's Orders,Trainer,True,True,1,MEG-114,46,Alakazam | Archaludon | Basic Box | Beedrill | Bloodmoon Ursaluna | Bronzong | Ceruledge | Crustle | Cynthia's Garchomp | Decidueye | Doublade | Dragapult | Eelektrik | Ethan's Typhlosion | Festival Lead | Flareon | Froslass Munkidori | Greninja | Hop's Trevenant | Hydreigon | Joltik Box | Kangaskhan Bouffalant | Lillie's Clefairy | Marnie's Grimmsnarl | Mega Abomasnow | Mega Absol Box | Mega Charizard X | Mega Diancie | Mega Froslass | Mega Greninja | Mega Lopunny | Mega Lucario | Mega Manectric | Mega Sharpedo | Mega Starmie | Mega Venusaur | Metagross | N's Zoroark | Ogerpon Meganium | Okidogi | Palafin | Raging Bolt | Steven's Metagross | Sylveon | Tera Box | Toxtricity,ptcg::archetype::alakazam ptcg::archetype::archaludon ptcg::archetype::basic_box ptcg::archetype::beedrill ptcg::archetype::bloodmoon_ursaluna ptcg::archetype::bronzong ptcg::archetype::ceruledge ptcg::archetype::crustle ptcg::archetype::cynthia_s_garchomp ptcg::archetype::decidueye ptcg::archetype::doublade ptcg::archetype::dragapult ptcg::archetype::eelektrik ptcg::archetype::ethan_s_typhlosion ptcg::archetype::festival_lead ptcg::archetype::flareon ptcg::archetype::froslass_munkidori ptcg::archetype::greninja ptcg::archetype::hop_s_trevenant ptcg::archetype::hydreigon ptcg::archetype::joltik_box ptcg::archetype::kangaskhan_bouffalant ptcg::archetype::lillie_s_clefairy ptcg::archetype::marnie_s_grimmsnarl ptcg::archetype::mega_abomasnow ptcg::archetype::mega_absol_box ptcg::archetype::mega_charizard_x ptcg::archetype::mega_diancie ptcg::archetype::mega_froslass ptcg::archetype::mega_greninja ptcg::archetype::mega_lopunny ptcg::archetype::mega_lucario ptcg::archetype::mega_manectric ptcg::archetype::mega_sharpedo ptcg::archetype::mega_starmie ptcg::archetype::mega_venusaur ptcg::archetype::metagross ptcg::archetype::n_s_zoroark ptcg::archetype::ogerpon_meganium ptcg::archetype::okidogi ptcg::archetype::palafin ptcg::archetype::raging_bolt ptcg::archetype::steven_s_metagross ptcg::archetype::sylveon ptcg::archetype::tera_box ptcg::archetype::toxtricity ptcg::card_type::trainer ptcg::meta::2026_06::top10 ptcg::meta::2026_06::top50
Bouffalant · SSP 151,Bouffalant · SSP 151,Bouffalant,Pokemon,False,True,1,SSP-151,1,Kangaskhan Bouffalant,ptcg::archetype::kangaskhan_bouffalant ptcg::card_type::pokemon ptcg::meta::2026_06::top50
Bouffalant · SVP 136,Bouffalant · SCR 119,Bouffalant,Pokemon,False,True,1,SCR-119,1,Kangaskhan Bouffalant,ptcg::archetype::kangaskhan_bouffalant ptcg::card_type::pokemon ptcg::meta::2026_06::top50
Braixen · CRI 012,Braixen,Braixen,Pokemon,False,True,1,CRI-12,1,Mega Charizard X,ptcg::archetype::mega_charizard_x ptcg::card_type::pokemon ptcg::meta::2026_06::top50
Brave Bangle · WHT 080,Brave Bangle,Brave Bangle,Trainer,True,True,1,WHT-80,6,Ethan's Typhlosion | Festival Lead | Metagross | Okidogi | Rocket's Spidops | Slowking,ptcg::archetype::ethan_s_typhlosion ptcg::archetype::festival_lead ptcg::archetype::metagross ptcg::archetype::okidogi ptcg::archetype::rocket_s_spidops ptcg::archetype::slowking ptcg::card_type::trainer ptcg::meta::2026_06::top10 ptcg::meta::2026_06::top50
Briar · SCR 132,Briar,Briar,Trainer,True,True,1,SCR-132,2,Flareon | Ogerpon Meganium,ptcg::archetype::flareon ptcg::archetype::ogerpon_meganium ptcg::card_type::trainer ptcg::meta::2026_06::top10 ptcg::meta::2026_06::top50
Brilliant Blender · SSP 164,Brilliant Blender,Brilliant Blender,Trainer,False,True,1,SSP-164,1,Ceruledge,ptcg::archetype::ceruledge ptcg::card_type::trainer ptcg::meta::2026_06::top50
Brock's Scouting · JTG 146,Brock's Scouting,Brock's Scouting,Trainer,True,True,1,JTG-146,9,Basic Box | Doublade | Joltik Box | Kangaskhan Bouffalant | Mega Absol Box | Mega Manectric | Metagross | Steven's Metagross | Tera Box,ptcg::archetype::basic_box ptcg::archetype::doublade ptcg::archetype::joltik_box ptcg::archetype::kangaskhan_bouffalant ptcg::archetype::mega_absol_box ptcg::archetype::mega_manectric ptcg::archetype::metagross ptcg::archetype::steven_s_metagross ptcg::archetype::tera_box ptcg::card_type::trainer ptcg::meta::2026_06::top10 ptcg::meta::2026_06::top50
Bronzong · TEF 069,Bronzong · TEF 069,Bronzong,Pokemon,False,True,1,TEF-69,2,Bronzong | Mega Diancie,ptcg::archetype::bronzong ptcg::archetype::mega_diancie ptcg::card_type::pokemon ptcg::meta::2026_06::top50
Bronzor · TEF 068,Bronzor · TEF 068,Bronzor,Pokemon,False,True,1,TEF-68,2,Bronzong | Mega Diancie,ptcg::archetype::bronzong ptcg::archetype::mega_diancie ptcg::card_type::pokemon ptcg::meta::2026_06::top50
Brute Bonnet · TWM 118,Brute Bonnet,Brute Bonnet,Pokemon,False,True,1,TWM-118,1,Toxtricity,ptcg::archetype::toxtricity ptcg::card_type::pokemon ptcg::meta::2026_06::top50
Buddy-Buddy Poffin · TEF 144,Buddy-Buddy Poffin,Buddy-Buddy Poffin,Trainer,True,True,1,ASC-184,29,Alakazam | Archaludon | Beedrill | Crustle | Cynthia's Garchomp | Decidueye | Doublade | Dragapult | Eelektrik | Ethan's Typhlosion | Festival Lead | Flareon | Froslass Munkidori | Greninja | Hydreigon | Marnie's Grimmsnarl | Mega Froslass | Mega Greninja | Mega Lopunny | Mega Lucario | Mega Manectric | Mega Sharpedo | Mega Starmie | Metagross | N's Zoroark | Palafin | Steven's Metagross | Sylveon | Toxtricity,ptcg::archetype::alakazam ptcg::archetype::archaludon ptcg::archetype::beedrill ptcg::archetype::crustle ptcg::archetype::cynthia_s_garchomp ptcg::archetype::decidueye ptcg::archetype::doublade ptcg::archetype::dragapult ptcg::archetype::eelektrik ptcg::archetype::ethan_s_typhlosion ptcg::archetype::festival_lead ptcg::archetype::flareon ptcg::archetype::froslass_munkidori ptcg::archetype::greninja ptcg::archetype::hydreigon ptcg::archetype::marnie_s_grimmsnarl ptcg::archetype::mega_froslass ptcg::archetype::mega_greninja ptcg::archetype::mega_lopunny ptcg::archetype::mega_lucario ptcg::archetype::mega_manectric ptcg::archetype::mega_sharpedo ptcg::archetype::mega_starmie ptcg::archetype::metagross ptcg::archetype::n_s_zoroark ptcg::archetype::palafin ptcg::archetype::steven_s_metagross ptcg::archetype::sylveon ptcg::archetype::toxtricity ptcg::card_type::trainer ptcg::meta::2026_06::top10 ptcg::meta::2026_06::top50
Budew · PRE 004,Budew,Budew,Pokemon,True,True,1,ASC-16,8,Decidueye | Dragapult | Greninja | Marnie's Grimmsnarl | Mega Froslass | Mega Greninja | Mega Starmie | N's Zoroark,ptcg::archetype::decidueye ptcg::archetype::dragapult ptcg::archetype::greninja ptcg::archetype::marnie_s_grimmsnarl ptcg::archetype::mega_froslass ptcg::archetype::mega_greninja ptcg::archetype::mega_starmie ptcg::archetype::n_s_zoroark ptcg::card_type::pokemon ptcg::meta::2026_06::top10 ptcg::meta::2026_06::top50
Bug Catching Set · TWM 143,Bug Catching Set,Bug Catching Set,Trainer,True,True,1,TWM-143,7,Beedrill | Decidueye | Festival Lead | Mega Venusaur | Ogerpon Meganium | Rocket's Mewtwo | Rocket's Spidops,ptcg::archetype::beedrill ptcg::archetype::decidueye ptcg::archetype::festival_lead ptcg::archetype::mega_venusaur ptcg::archetype::ogerpon_meganium ptcg::archetype::rocket_s_mewtwo ptcg::archetype::rocket_s_spidops ptcg::card_type::trainer ptcg::meta::2026_06::top10 ptcg::meta::2026_06::top50
Bulbasaur · MEG 001,Bulbasaur · MEG 001,Bulbasaur,Pokemon,False,True,1,MEG-1,1,Mega Venusaur,ptcg::archetype::mega_venusaur ptcg::card_type::pokemon ptcg::meta::2026_06::top50
Buneary · PFL 083,Buneary · PFL 083,Buneary,Pokemon,False,True,1,PFL-83,2,Mega Lopunny | Mega Sharpedo,ptcg::archetype::mega_lopunny ptcg::archetype::mega_sharpedo ptcg::card_type::pokemon ptcg::meta::2026_06::top50
Carmine · TWM 145,Carmine,Carmine,Trainer,False,True,1,TWM-145,1,Ceruledge,ptcg::archetype::ceruledge ptcg::card_type::trainer ptcg::meta::2026_06::top50
Carvanha · PFL 060,Carvanha · PFL 060,Carvanha,Pokemon,False,True,1,PFL-60,1,Mega Sharpedo,ptcg::archetype::mega_sharpedo ptcg::card_type::pokemon ptcg::meta::2026_06::top50
Celebi · MEG 012,Celebi · MEG 012,Celebi,Pokemon,True,True,1,MEG-12,2,Mega Venusaur | Ogerpon Meganium,ptcg::archetype::mega_venusaur ptcg::archetype::ogerpon_meganium ptcg::card_type::pokemon ptcg::meta::2026_06::top10 ptcg::meta::2026_06::top50
Ceruledge ex · SSP 036,Ceruledge ex,Ceruledge ex,Pokemon,False,True,1,SSP-36,1,Ceruledge,ptcg::archetype::ceruledge ptcg::card_type::pokemon ptcg::mechanic::ex ptcg::meta::2026_06::top50
Charcadet · SSP 032,Charcadet · SSP 032,Charcadet,Pokemon,False,True,1,SSP-32,1,Ceruledge,ptcg::archetype::ceruledge ptcg::card_type::pokemon ptcg::meta::2026_06::top50
Charmander · PFL 011,Charmander · PFL 011,Charmander,Pokemon,False,True,1,PFL-11,1,Mega Charizard X,ptcg::archetype::mega_charizard_x ptcg::card_type::pokemon ptcg::meta::2026_06::top50
Charmeleon · PFL 012,Charmeleon · PFL 012,Charmeleon,Pokemon,False,True,1,PFL-12,1,Mega Charizard X,ptcg::archetype::mega_charizard_x ptcg::card_type::pokemon ptcg::meta::2026_06::top50
Chien-Pao · SVP 152,Chien-Pao · SSP 056,Chien-Pao,Pokemon,True,True,1,SSP-56,5,Basic Box | Beedrill | Lillie's Clefairy | Raging Bolt | Tera Box,ptcg::archetype::basic_box ptcg::archetype::beedrill ptcg::archetype::lillie_s_clefairy ptcg::archetype::raging_bolt ptcg::archetype::tera_box ptcg::card_type::pokemon ptcg::meta::2026_06::top10 ptcg::meta::2026_06::top50
Chikorita · ASC 008,Chikorita · ASC 008,Chikorita,Pokemon,True,True,1,ASC-8,1,Ogerpon Meganium,ptcg::archetype::ogerpon_meganium ptcg::card_type::pokemon ptcg::meta::2026_06::top10 ptcg::meta::2026_06::top50
Chikorita · MEG 008,Chikorita · MEG 008,Chikorita,Pokemon,True,True,1,MEG-8,2,Mega Venusaur | Ogerpon Meganium,ptcg::archetype::mega_venusaur ptcg::archetype::ogerpon_meganium ptcg::card_type::pokemon ptcg::meta::2026_06::top10 ptcg::meta::2026_06::top50
Ciphermaniac's Codebreaking · TEF 145,Ciphermaniac's Codebreaking,Ciphermaniac's Codebreaking,Trainer,True,True,1,TEF-145,6,Basic Box | Kangaskhan Bouffalant | Lillie's Clefairy | Okidogi | Raging Bolt | Slowking,ptcg::archetype::basic_box ptcg::archetype::kangaskhan_bouffalant ptcg::archetype::lillie_s_clefairy ptcg::archetype::okidogi ptcg::archetype::raging_bolt ptcg::archetype::slowking ptcg::card_type::trainer ptcg::meta::2026_06::top10 ptcg::meta::2026_06::top50
Colress's Tenacity · SFA 057,Colress's Tenacity,Colress's Tenacity,Trainer,False,True,1,SFA-57,3,Greninja | Mega Manectric | Mega Venusaur,ptcg::archetype::greninja ptcg::archetype::mega_manectric ptcg::archetype::mega_venusaur ptcg::card_type::trainer ptcg::meta::2026_06::top50
Community Center · TWM 146,Community Center,Community Center,Trainer,False,True,1,TWM-146,1,Crustle,ptcg::archetype::crustle ptcg::card_type::trainer ptcg::meta::2026_06::top50
Cornerstone Mask Ogerpon ex · TWM 112,Cornerstone Mask Ogerpon ex,Cornerstone Mask Ogerpon ex,Pokemon,False,True,1,TWM-112,1,Okidogi,ptcg::archetype::okidogi ptcg::card_type::pokemon ptcg::mechanic::ex ptcg::meta::2026_06::top50
Counter Gain · SSP 169,Counter Gain,Counter Gain,Trainer,False,True,1,ASC-186,2,Bloodmoon Ursaluna | Doublade,ptcg::archetype::bloodmoon_ursaluna ptcg::archetype::doublade ptcg::card_type::trainer ptcg::meta::2026_06::top50
Crispin · SCR 133,Crispin,Crispin,Trainer,True,True,1,SCR-133,17,Basic Box | Bloodmoon Ursaluna | Bronzong | Dragapult | Eelektrik | Flareon | Hydreigon | Joltik Box | Kangaskhan Bouffalant | Lillie's Clefairy | Mega Froslass | Mega Manectric | Mega Starmie | Palafin | Raging Bolt | Sylveon | Tera Box,ptcg::archetype::basic_box ptcg::archetype::bloodmoon_ursaluna ptcg::archetype::bronzong ptcg::archetype::dragapult ptcg::archetype::eelektrik ptcg::archetype::flareon ptcg::archetype::hydreigon ptcg::archetype::joltik_box ptcg::archetype::kangaskhan_bouffalant ptcg::archetype::lillie_s_clefairy ptcg::archetype::mega_froslass ptcg::archetype::mega_manectric ptcg::archetype::mega_starmie ptcg::archetype::palafin ptcg::archetype::raging_bolt ptcg::archetype::sylveon ptcg::archetype::tera_box ptcg::card_type::trainer ptcg::meta::2026_06::top10 ptcg::meta::2026_06::top50
Crushing Hammer · SUM 115,Crushing Hammer,Crushing Hammer,Trainer,True,True,1,POR-71,1,Dragapult,ptcg::archetype::dragapult ptcg::card_type::trainer ptcg::meta::2026_06::top10 ptcg::meta::2026_06::top50
Crustle · DRI 012,Crustle · DRI 012,Crustle,Pokemon,False,True,1,DRI-12,1,Crustle,ptcg::archetype::crustle ptcg::card_type::pokemon ptcg::meta::2026_06::top50
Cynthia's Gabite · ASC 110,Cynthia's Gabite · ASC 110,Cynthia's Gabite,Pokemon,False,True,1,ASC-110,1,Cynthia's Garchomp,ptcg::archetype::cynthia_s_garchomp ptcg::card_type::pokemon ptcg::meta::2026_06::top50
Cynthia's Garchomp ex · ASC 111,Cynthia's Garchomp ex · ASC 111,Cynthia's Garchomp ex,Pokemon,False,True,1,ASC-111,1,Cynthia's Garchomp,ptcg::archetype::cynthia_s_garchomp ptcg::card_type::pokemon ptcg::mechanic::ex ptcg::meta::2026_06::top50
Cynthia's Gible · DRI 102,Cynthia's Gible,Cynthia's Gible,Pokemon,False,True,1,ASC-109,1,Cynthia's Garchomp,ptcg::archetype::cynthia_s_garchomp ptcg::card_type::pokemon ptcg::meta::2026_06::top50
Cynthia's Power Weight · DRI 162,Cynthia's Power Weight,Cynthia's Power Weight,Trainer,False,True,1,DRI-162,1,Cynthia's Garchomp,ptcg::archetype::cynthia_s_garchomp ptcg::card_type::trainer ptcg::meta::2026_06::top50
Cynthia's Roselia · DRI 007,Cynthia's Roselia,Cynthia's Roselia,Pokemon,False,True,1,DRI-7,1,Cynthia's Garchomp,ptcg::archetype::cynthia_s_garchomp ptcg::card_type::pokemon ptcg::meta::2026_06::top50
Cynthia's Roserade · DRI 008,Cynthia's Roserade,Cynthia's Roserade,Pokemon,False,True,1,DRI-8,1,Cynthia's Garchomp,ptcg::archetype::cynthia_s_garchomp ptcg::card_type::pokemon ptcg::meta::2026_06::top50
Cynthia's Spiritomb · DRI 129,Cynthia's Spiritomb,Cynthia's Spiritomb,Pokemon,False,True,1,ASC-133,1,Cynthia's Garchomp,ptcg::archetype::cynthia_s_garchomp ptcg::card_type::pokemon ptcg::meta::2026_06::top50
Cyrano · SSP 170,Cyrano,Cyrano,Trainer,True,True,1,SSP-170,6,Basic Box | Flareon | Lillie's Clefairy | N's Zoroark | Raging Bolt | Tera Box,ptcg::archetype::basic_box ptcg::archetype::flareon ptcg::archetype::lillie_s_clefairy ptcg::archetype::n_s_zoroark ptcg::archetype::raging_bolt ptcg::archetype::tera_box ptcg::card_type::trainer ptcg::meta::2026_06::top10 ptcg::meta::2026_06::top50
Darkness Energy · DP 129,Darkness Energy,Darkness Energy,Energy,True,True,1,MEE-7,16,Basic Box | Bloodmoon Ursaluna | Bronzong | Dragapult | Froslass Munkidori | Hydreigon | Kangaskhan Bouffalant | Marnie's Grimmsnarl | Mega Absol Box | Mega Froslass | Mega Sharpedo | Mega Starmie | N's Zoroark | Palafin | Sylveon | Toxtricity,ptcg::archetype::basic_box ptcg::archetype::bloodmoon_ursaluna ptcg::archetype::bronzong ptcg::archetype::dragapult ptcg::archetype::froslass_munkidori ptcg::archetype::hydreigon ptcg::archetype::kangaskhan_bouffalant ptcg::archetype::marnie_s_grimmsnarl ptcg::archetype::mega_absol_box ptcg::archetype::mega_froslass ptcg::archetype::mega_sharpedo ptcg::archetype::mega_starmie ptcg::archetype::n_s_zoroark ptcg::archetype::palafin ptcg::archetype::sylveon ptcg::archetype::toxtricity ptcg::card_type::energy ptcg::meta::2026_06::top10 ptcg::meta::2026_06::top50
Dartrix · POR 011,Dartrix · POR 011,Dartrix,Pokemon,False,True,1,POR-11,1,Decidueye,ptcg::archetype::decidueye ptcg::card_type::pokemon ptcg::meta::2026_06::top50
Dawn · PFL 087,Dawn,Dawn,Trainer,True,True,1,PFL-87,9,Alakazam | Beedrill | Decidueye | Dragapult | Festival Lead | Hydreigon | Mega Abomasnow | Mega Charizard X | Ogerpon Meganium,ptcg::archetype::alakazam ptcg::archetype::beedrill ptcg::archetype::decidueye ptcg::archetype::dragapult ptcg::archetype::festival_lead ptcg::archetype::hydreigon ptcg::archetype::mega_abomasnow ptcg::archetype::mega_charizard_x ptcg::archetype::ogerpon_meganium ptcg::card_type::trainer ptcg::meta::2026_06::top10 ptcg::meta::2026_06::top50
Decidueye ex · POR 012,Decidueye ex,Decidueye ex,Pokemon,False,True,1,POR-12,1,Decidueye,ptcg::archetype::decidueye ptcg::card_type::pokemon ptcg::mechanic::ex ptcg::meta::2026_06::top50
Dedenne · SSP 087,Dedenne · SSP 087,Dedenne,Pokemon,True,True,1,SSP-87,2,Alakazam | Sylveon,ptcg::archetype::alakazam ptcg::archetype::sylveon ptcg::card_type::pokemon ptcg::meta::2026_06::top10 ptcg::meta::2026_06::top50
Deino · SSP 117,Deino · SSP 117,Deino,Pokemon,False,True,1,SSP-117,1,Hydreigon,ptcg::archetype::hydreigon ptcg::card_type::pokemon ptcg::meta::2026_06::top50
Delphox · CRI 013,Delphox,Delphox,Pokemon,False,True,1,CRI-13,1,Mega Charizard X,ptcg::archetype::mega_charizard_x ptcg::card_type::pokemon ptcg::meta::2026_06::top50
Deluxe Bomb · SCR 134,Deluxe Bomb,Deluxe Bomb,Trainer,False,True,1,SCR-134,1,Mega Froslass,ptcg::archetype::mega_froslass ptcg::card_type::trainer ptcg::meta::2026_06::top50
Deoxys · CRI 033,Deoxys · CRI 033,Deoxys,Pokemon,False,True,1,CRI-33,1,Mega Diancie,ptcg::archetype::mega_diancie ptcg::card_type::pokemon ptcg::meta::2026_06::top50
Dialga · MEG 095,Dialga · MEG 095,Dialga,Pokemon,False,True,1,MEG-95,1,Steven's Metagross,ptcg::archetype::steven_s_metagross ptcg::card_type::pokemon ptcg::meta::2026_06::top50
Dipplin · TWM 018,Dipplin · PRE 010,Dipplin,Pokemon,True,True,1,TWM-18,2,Festival Lead | Ogerpon Meganium,ptcg::archetype::festival_lead ptcg::archetype::ogerpon_meganium ptcg::card_type::pokemon ptcg::meta::2026_06::top10 ptcg::meta::2026_06::top50
Doublade · POR 057,Doublade · POR 057,Doublade,Pokemon,False,True,1,POR-57,1,Doublade,ptcg::archetype::doublade ptcg::card_type::pokemon ptcg::meta::2026_06::top50
Dragapult ex · ASC 160,Dragapult ex · ASC 160,Dragapult ex,Pokemon,True,True,1,ASC-160,1,Dragapult,ptcg::archetype::dragapult ptcg::card_type::pokemon ptcg::mechanic::ex ptcg::meta::2026_06::top10 ptcg::meta::2026_06::top50
Dragonair · ASC 151,Dragonair,Dragonair,Pokemon,False,True,1,ASC-151,1,Eelektrik,ptcg::archetype::eelektrik ptcg::card_type::pokemon ptcg::meta::2026_06::top50
